Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Sports events,Influencer|Media Sponsorship|Influencer,26088.93|34747.39|50154.96,20575,91840.7,130430.99,42.02
Conferences and seminars,Food Stalls|Financial,36808.86|121084.55,683,132294.81,173114.7,30.86
Community and Charity events,Food Stalls|In Kind|Influencer|Philanthropy,4451.55|14632.63|93571.94|3017.85,947,88692.45,117980.62,33.02
Community and Charity events,In Kind|Influencer|Merchandise|Food Stalls|Media Sponsorship,41939.0|92844.58|29160.24|24685.9|62713.74,2162,168852.27,255357.52,51.23
Virtual event,Media Sponsorship|Merchandise|Media Sponsorship|Financial,77083.51|7354.81|76184.69|98378.2,4326,179026.91,357663.68,99.78
Entertainment and media events,Philanthropy|Food Stalls|Influencer,37607.27|31755.29|27107.76,3560,63375.82,101598.43,60.31
Community and Charity events,Food Stalls|Merchandise|Media Sponsorship,19607.09|24778.3|90522.3,4405,120077.79,148708.79,23.84
Festivals and fairs,Media Sponsorship|Merchandise|Food Stalls,58913.56|3795.14|26273.22,8178,69369.08,102967.89,48.43
Sports events,Financial|Food Stalls,167113.28|26570.36,5317,145960.09,286290.76,96.14
Entertainment and media events,Influencer|Food Stalls|Philanthropy|Merchandise,83699.38|16691.69|21387.93|2833.55,19849,109396.12,135261.28,23.64
Community and Charity events,Philanthropy|Philanthropy,7424.82|45012.16,4449,41347.55,68570.38,65.84
Virtual event,Philanthropy|Influencer|Media Sponsorship,45564.02|76725.76|43845.37,4386,136344.96,186224.98,36.58
Virtual event,Merchandise|Media Sponsorship,34397.05|87701.79,6459,84184.48,110875.82,31.71
Sports events,Merchandise|Media Sponsorship|Merchandise,45276.66|22645.58|13680.13,28373,66851.95,120468.86,80.2
Community and Charity events,Influencer|Food Stalls|Financial,81036.01|16830.87|186178.88,2253,218577.75,358507.72,64.02
Festivals and fairs,Food Stalls|Merchandise,41152.19|48889.13,47756,55149.2,96757.29,75.45
Conferences and seminars,Philanthropy,84639.16,2701,69024.82,131770.56,90.9
Festivals and fairs,In Kind,37786.26,89059,32894.74,59896.97,82.09
Entertainment and media events,Financial|Philanthropy|Merchandise|Financial|Financial,74886.23|14621.93|40968.57|88651.54|63406.66,21711,220091.27,330158.07,50.01
Festivals and fairs,In Kind,36746.57,68548,26837.37,38797.62,44.57
Virtual event,In Kind|Philanthropy|Merchandise|Financial|Philanthropy,71783.14|72774.0|11730.9|41207.91|33475.26,5931,142551.38,195522.73,37.16
Entertainment and media events,Food Stalls|Financial,25733.71|78183.36,6965,66307.66,106192.19,60.15
Virtual event,In Kind|Merchandise,15994.66|4307.4,5660,17898.54,21524.3,20.26
Festivals and fairs,Food Stalls|Merchandise|Financial,44268.06|8449.78|132879.08,14408,142561.25,241919.27,69.69
Entertainment and media events,In Kind,64246.4,26381,51663.09,81246.39,57.26
Virtual event,Influencer|In Kind|Influencer|Merchandise|Media Sponsorship,18307.47|8254.51|96843.63|6249.77|33760.0,6028,126645.53,168973.49,33.42
Conferences and seminars,Financial|Merchandise,185519.03|33278.73,4821,162664.82,283001.89,73.98
Sports events,Food Stalls|Food Stalls,10474.58|12977.81,76765,16061.6,28145.37,75.23
Community and Charity events,Food Stalls|Merchandise|Influencer|Financial,17105.18|3445.4|2758.32|88413.75,185,70100.79,125160.8,78.54
Virtual event,Financial|Financial|Philanthropy,51859.85|144058.61|10331.83,7478,174251.86,226362.74,29.91
Virtual event,Media Sponsorship|Philanthropy|Philanthropy|In Kind|In Kind,58264.13|40833.44|30625.68|95849.9|61930.71,8840,251668.12,489157.75,94.37
Entertainment and media events,Food Stalls|Merchandise,4253.3|23913.84,11118,24805.98,36883.65,48.69
Virtual event,Philanthropy|Media Sponsorship|Philanthropy,18233.09|45777.58|41045.31,5164,75414.2,142958.69,89.56
Festivals and fairs,Influencer|Media Sponsorship|Philanthropy,26208.26|23938.96|27527.01,93284,53910.03,99261.04,84.12
Community and Charity events,Philanthropy|In Kind,23012.79|6649.73,2491,19741.06,37233.46,88.61
Festivals and fairs,Media Sponsorship|Media Sponsorship|Media Sponsorship,23657.02|26658.05|33838.1,16674,66582.07,73907.3,11.0
Festivals and fairs,Media Sponsorship,17156.21,86326,11587.28,17475.96,50.82
Sports events,Influencer,7822.53,46951,5108.43,5915.82,15.81
Entertainment and media events,In Kind|Philanthropy,85459.07|26702.8,8595,92236.01,144972.57,57.18
Virtual event,In Kind|Media Sponsorship|Philanthropy,84034.46|61752.23|70803.74,3732,135701.25,245829.02,81.15
Entertainment and media events,Food Stalls|In Kind|Media Sponsorship|Philanthropy|Media Sponsorship,26256.09|23115.92|65907.88|31050.63|53151.38,5850,142594.93,159034.65,11.53
Community and Charity events,Philanthropy|In Kind|Influencer|In Kind|Philanthropy,51606.04|73350.58|28184.19|48698.41|8077.81,4645,166137.17,233025.46,40.26
Virtual event,In Kind,74978.85,1367,47796.6,94790.32,98.32
Virtual event,Philanthropy|Influencer|In Kind,25540.65|16133.13|84951.08,9505,93915.36,130273.15,38.71
Virtual event,Financial|Philanthropy|Influencer|Financial|Financial,105427.13|52911.75|23463.12|170272.0|110831.23,8155,323906.58,425414.59,31.34
Conferences and seminars,Food Stalls,24311.34,1738,15375.82,18858.52,22.65
Community and Charity events,In Kind|Financial,41346.22|8509.16,3217,42128.45,47794.01,13.45
Community and Charity events,Financial,3610.45,4544,2211.65,4389.1,98.45
Community and Charity events,Media Sponsorship|In Kind|Food Stalls|Influencer,35236.29|36239.89|14436.95|87184.81,3135,118460.58,182277.0,53.87
Community and Charity events,Influencer,29995.49,431,19620.14,29573.24,50.73
Virtual event,Influencer|Financial|Influencer|Merchandise|Philanthropy,10420.63|120937.24|39181.05|27387.1|34551.52,5542,197988.9,301085.87,52.07
Festivals and fairs,Merchandise|Philanthropy|Food Stalls|Merchandise,14718.95|97717.62|49534.3|15810.79,88771,142942.92,261669.76,83.06
Community and Charity events,In Kind|Food Stalls|Food Stalls|In Kind|Media Sponsorship,8897.75|24794.06|19126.67|94185.26|89519.53,833,153908.56,287120.48,86.55
Festivals and fairs,Merchandise|Media Sponsorship,19183.54|71547.26,13131,76490.12,109353.62,42.96
Community and Charity events,Influencer|Financial|Influencer,93141.71|140009.16|71711.13,2076,268017.19,343934.42,28.33
Community and Charity events,Philanthropy,42217.53,4495,35942.86,69250.68,92.67
Conferences and seminars,Merchandise,8081.15,2916,7070.79,8340.67,17.96
Entertainment and media events,In Kind|Philanthropy|Influencer,75897.66|26623.86|99009.04,14561,155964.8,302356.92,93.86
Community and Charity events,Media Sponsorship|Financial,49710.59|140436.84,3143,161177.22,297971.4,84.87
Sports events,Food Stalls|Food Stalls|In Kind|Food Stalls,45055.62|22541.61|16507.36|46422.48,22646,107616.61,138999.06,29.16
Entertainment and media events,Financial|Influencer|Media Sponsorship|In Kind|Philanthropy,83194.49|3054.98|59373.57|73836.63|47947.22,33476,160646.75,186640.01,16.18
Festivals and fairs,In Kind|Influencer|Merchandise,97133.73|85568.7|25142.93,50378,135846.73,211930.03,56.01
Community and Charity events,Philanthropy|Financial|In Kind|Influencer|Influencer,77132.99|82344.33|57175.6|74027.42|20281.45,2503,249788.71,348490.23,39.51
Conferences and seminars,Influencer|Influencer,33274.3|71675.2,2214,75145.31,101676.31,35.31
Community and Charity events,Food Stalls|Financial|In Kind|Food Stalls,41365.32|13498.31|66229.82|47640.84,4984,101317.38,130350.75,28.66
Sports events,Merchandise|Media Sponsorship|Media Sponsorship|Financial,3966.59|69779.49|82296.86|104911.38,40155,174829.02,299978.65,71.58
Community and Charity events,Philanthropy,41562.37,676,29020.97,33402.54,15.1
Festivals and fairs,Media Sponsorship,14379.66,7094,11195.37,16574.54,48.05
Sports events,Influencer|Merchandise|Merchandise|Merchandise,21651.35|5309.66|36164.38|33990.16,94301,85557.44,132377.36,54.72
Conferences and seminars,Media Sponsorship|Food Stalls|In Kind|Philanthropy|Merchandise,83853.71|31645.84|75827.49|9214.56|14352.52,4196,151229.85,211589.68,39.91
Festivals and fairs,Financial|In Kind,103746.25|82710.16,12982,147324.19,256298.01,73.97
Entertainment and media events,Food Stalls,40056.08,37650,33917.16,39544.9,16.59
Community and Charity events,Financial|Financial,97292.16|122101.24,3538,142225.09,174063.44,22.39
Conferences and seminars,Media Sponsorship|Influencer|Food Stalls,74461.55|93277.27|14096.67,4473,112082.28,209497.93,86.91
Sports events,Merchandise|Food Stalls|Philanthropy|Media Sponsorship,24709.75|13703.92|8647.55|14914.86,56467,45151.15,84164.17,86.41
Community and Charity events,Financial,158266.01,2639,123160.54,142704.8,15.87
Conferences and seminars,Food Stalls|Financial,1136.87|26821.02,4440,24456.13,47910.96,95.91
Virtual event,Media Sponsorship|Financial|In Kind|In Kind,72522.8|104545.5|1918.71|92780.13,9056,179772.6,345153.09,91.99
Sports events,Philanthropy|Influencer|Merchandise|Media Sponsorship,58775.25|79299.9|48106.56|36351.33,94507,182189.59,324186.85,77.94
Virtual event,Media Sponsorship,37292.76,6854,32091.37,37753.72,17.64
Conferences and seminars,Philanthropy|Food Stalls|Food Stalls,88748.52|22342.33|16723.36,197,102683.23,114828.06,11.83
Virtual event,Philanthropy|In Kind,25262.11|15969.09,2410,35566.14,68727.25,93.24
Community and Charity events,Philanthropy,31819.32,3140,24788.42,37725.08,52.19
Festivals and fairs,Merchandise|Financial|In Kind|Food Stalls,48034.78|172564.1|64773.99|47181.45,83253,252191.86,392426.88,55.61
Conferences and seminars,Food Stalls,32518.71,2764,23065.7,41603.15,80.37
Entertainment and media events,Influencer,83236.46,47596,55060.53,78706.16,42.94
Festivals and fairs,Merchandise|In Kind|Philanthropy,42809.36|5077.01|81788.74,48816,102585.68,151882.32,48.05
Community and Charity events,Media Sponsorship|In Kind,32709.97|96996.35,797,84041.53,102091.19,21.48
Conferences and seminars,Food Stalls|In Kind|Food Stalls,33628.02|57802.5|37784.58,4726,94273.11,171298.84,81.7
Entertainment and media events,Influencer,86555.48,18175,74797.79,88430.37,18.23
Virtual event,Media Sponsorship|Financial|Influencer|Financial|In Kind,17379.7|15854.94|8557.09|12907.77|27134.75,8953,55866.06,64891.84,16.16
Community and Charity events,Food Stalls,42409.07,2022,36021.0,39825.87,10.56
Sports events,Food Stalls|Financial|Financial|Influencer|Food Stalls,44662.84|131760.14|59701.87|71611.25|1087.61,35565,268021.45,534492.47,99.42
Conferences and seminars,Financial|In Kind|Financial|Media Sponsorship,143221.02|2087.57|81536.77|23459.75,280,172199.5,229105.88,33.05
Festivals and fairs,Philanthropy|Media Sponsorship|Media Sponsorship|Food Stalls,63484.8|38300.0|27896.02|8003.46,38494,106692.79,209474.65,96.33
Virtual event,In Kind|Philanthropy,33753.7|26910.56,4713,39196.5,52732.63,34.53
Community and Charity events,Merchandise|In Kind|Philanthropy,5640.96|10159.29|94532.24,359,82003.18,143626.07,75.15
Sports events,In Kind,78367.52,99742,54379.55,95551.85,75.71
Entertainment and media events,Merchandise,1680.22,49473,1432.66,2111.69,47.4
Community and Charity events,Influencer|Media Sponsorship|Media Sponsorship|Financial|Food Stalls,8612.96|24757.83|72261.87|114792.56|10102.76,344,147454.93,245781.67,66.68
Community and Charity events,Food Stalls|Media Sponsorship|Philanthropy,7771.45|36230.9|83799.4,2630,78673.62,109999.94,39.82
Festivals and fairs,Media Sponsorship|Merchandise|Merchandise|Media Sponsorship|In Kind,84721.16|21820.9|11389.18|24508.78|2238.93,59961,110744.03,150085.37,35.52
Community and Charity events,Food Stalls|Media Sponsorship|Influencer|In Kind,604.46|40110.49|25917.42|8578.57,2989,45681.43,55466.71,21.42
Virtual event,Influencer|Influencer|Influencer|Influencer|Philanthropy,12892.54|42867.07|9557.13|83418.41|54773.75,8636,127321.61,199102.31,56.38
Conferences and seminars,Merchandise|Food Stalls|Financial|Food Stalls|Food Stalls,45869.24|35805.0|156377.66|24417.73|17549.42,2304,231185.77,389194.28,68.35
Festivals and fairs,In Kind|Financial|Merchandise|Financial|Philanthropy,18694.44|131904.59|18923.84|103619.43|16869.96,75296,256825.06,365188.65,42.19
Community and Charity events,Philanthropy|Financial,43821.37|19451.2,3154,52622.89,65446.0,24.37
Virtual event,In Kind|In Kind|In Kind|Merchandise,81906.47|1692.53|40288.3|26030.13,1608,105373.34,144320.51,36.96
Conferences and seminars,Philanthropy|Philanthropy|Influencer,70161.06|26662.72|35764.71,172,88196.81,102855.34,16.62
Entertainment and media events,Financial|Merchandise|Media Sponsorship|Merchandise,123546.16|33097.03|69054.8|18157.34,30119,146356.48,269226.09,83.95
Entertainment and media events,Merchandise|Financial|Financial|Media Sponsorship,33576.25|164621.08|97823.06|92682.45,12622,326009.0,480722.43,47.46
Festivals and fairs,Influencer,41608.52,4729,26763.78,37815.0,41.29
Conferences and seminars,Food Stalls|Philanthropy|In Kind,35387.44|63554.42|8268.71,1033,76579.38,118221.87,54.38
Virtual event,Philanthropy,63397.9,8852,38825.97,65951.84,69.87
Virtual event,Media Sponsorship|Philanthropy,92016.05|16301.87,5102,96609.41,177028.73,83.24
Conferences and seminars,In Kind|In Kind,67423.77|60986.95,370,90467.78,126282.53,39.59
Community and Charity events,Influencer|Merchandise|Influencer,69136.76|24111.7|83013.57,2030,147390.53,219574.64,48.97
Festivals and fairs,Media Sponsorship|Influencer,16787.5|79049.17,32505,81369.02,154252.7,89.57
Conferences and seminars,Financial|In Kind|Merchandise|Merchandise|Food Stalls,102365.34|51645.19|30247.53|41059.69|48467.24,2585,241896.38,279989.15,15.75
Virtual event,Media Sponsorship|Influencer|Financial|Philanthropy,71364.42|10302.4|69874.75|21026.57,8664,105258.29,205662.21,95.39
Conferences and seminars,In Kind|Merchandise|Merchandise|Food Stalls|Food Stalls,60761.68|45380.85|48964.12|18333.76|34673.74,3873,156983.41,312652.86,99.16
Festivals and fairs,Media Sponsorship|Media Sponsorship,27493.18|11065.51,85143,32096.47,37511.9,16.87
Community and Charity events,Media Sponsorship|Merchandise|Media Sponsorship|In Kind|Merchandise,90891.92|31443.64|53602.98|91689.21|30256.91,787,233773.03,414651.73,77.37
Sports events,Merchandise|Influencer|In Kind|Media Sponsorship|Media Sponsorship,9144.65|10447.53|66080.32|80860.38|18236.37,16158,153095.13,187743.81,22.63
Community and Charity events,Philanthropy|Financial|In Kind|Food Stalls,24817.95|11769.37|44712.84|49196.88,3186,80274.45,135976.37,69.39
Sports events,In Kind|Influencer|In Kind,38696.38|5230.42|38759.41,61204,53377.09,71250.46,33.49
Community and Charity events,Merchandise,11552.71,260,7478.92,12525.53,67.48
Community and Charity events,Philanthropy|Influencer|Influencer,31936.5|42799.24|25273.18,3958,72790.26,129463.57,77.86
Entertainment and media events,Media Sponsorship,1625.64,33357,1322.78,1921.05,45.23
Sports events,Merchandise|Media Sponsorship|Financial,40479.48|13348.97|182341.96,20500,197424.07,297573.57,50.73
Community and Charity events,Food Stalls|Financial|Philanthropy,19395.94|36331.34|84437.33,3631,107360.08,185001.79,72.32
Sports events,Influencer,48633.21,82640,41101.71,69198.4,68.36
Entertainment and media events,Food Stalls|Merchandise|Media Sponsorship|Financial,3208.63|2085.12|67160.89|72779.81,4995,96599.0,159152.02,64.76
Conferences and seminars,Media Sponsorship|Influencer|Philanthropy,36055.18|85042.32|96230.44,1239,190929.91,376749.41,97.32
Community and Charity events,Media Sponsorship|In Kind,31317.52|2273.65,3664,27594.9,39531.46,43.26
Sports events,Media Sponsorship|In Kind|Financial|Merchandise|Food Stalls,7485.04|82564.93|158427.77|17298.01|28582.91,83271,234161.57,415257.43,77.34
Sports events,Food Stalls|Philanthropy|Merchandise|Food Stalls,21259.78|4397.85|31468.87|34733.39,2553,73521.53,135145.52,83.82
Virtual event,Influencer|Merchandise|Merchandise|Financial|Media Sponsorship,99106.16|15788.94|41249.93|158573.12|74913.87,2055,236703.43,393874.44,66.4
Festivals and fairs,Financial,74160.93,4414,54402.42,65855.12,21.05
Entertainment and media events,Media Sponsorship|Media Sponsorship,52939.62|81217.8,33872,104696.38,181450.41,73.31
Festivals and fairs,Merchandise|Media Sponsorship,5793.95|52416.22,39049,50478.96,95815.76,89.81
Community and Charity events,In Kind|Financial|Food Stalls|Financial|Food Stalls,69980.04|195090.7|33830.91|146987.3|42195.04,2975,410482.41,566661.58,38.05
Conferences and seminars,Influencer|Philanthropy|Philanthropy|Media Sponsorship,5698.14|56014.67|91891.66|47707.61,602,178676.5,314629.38,76.09
Entertainment and media events,Media Sponsorship|Influencer|Financial|Philanthropy,62819.7|50007.62|81108.51|61476.13,49607,206153.32,264244.13,28.18
Virtual event,In Kind|Merchandise|In Kind|Media Sponsorship|Financial,34456.77|47007.74|20502.88|66808.52|2187.07,1718,114222.42,160261.82,40.31
Sports events,Food Stalls|Influencer|Media Sponsorship,9298.62|36966.55|30368.38,58653,59466.57,83480.58,40.38
Sports events,Merchandise|Financial,24988.81|152640.99,77758,127454.51,222672.4,74.71
Entertainment and media events,Merchandise|Financial|Merchandise|Influencer,49670.22|136974.81|36664.17|82889.75,12263,213586.91,279954.66,31.07
Sports events,Financial|Merchandise|Food Stalls|Influencer,63754.56|47926.43|2185.69|3088.29,93244,93138.34,122302.66,31.31
